# Traditional Niño 3.4 ONI (3-month running mean, ERSST.v5, 1991-2020 climo)
# Source: https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/ensostuff/ONI_v5.php
# Each row: develop_year, season_label, oni
# Months_from_mar1 of develop year used for analog plot (DJF=-3,...,FMA=11).
develop_year,season,oni
1997,DJF,-0.5
1997,JFM,-0.4
1997,FMA,-0.1
1997,MAM,0.3
1997,AMJ,0.8
1997,MJJ,1.2
1997,JJA,1.6
1997,JAS,1.9
1997,ASO,2.1
1997,SON,2.3
1997,OND,2.4
1997,NDJ,2.4
1998,DJF,2.2
1998,JFM,1.9
1998,FMA,1.4
2015,DJF,0.7
2015,JFM,0.6
2015,FMA,0.7
2015,MAM,0.8
2015,AMJ,1.0
2015,MJJ,1.3
2015,JJA,1.6
2015,JAS,1.9
2015,ASO,2.2
2015,SON,2.5
2015,OND,2.6
2015,NDJ,2.8
2016,DJF,2.6
2016,JFM,2.3
2016,FMA,1.7
2023,DJF,-0.5
2023,JFM,-0.3
2023,FMA,0.0
2023,MAM,0.3
2023,AMJ,0.6
2023,MJJ,0.8
2023,JJA,1.1
2023,JAS,1.4
2023,ASO,1.6
2023,SON,1.8
2023,OND,2.0
2023,NDJ,2.1
2024,DJF,1.9
2024,JFM,1.6
2024,FMA,1.3
2026,DJF,-0.4
2026,JFM,-0.4
